0.994292	-0.0036615	-0.106632	-0.00372909	0.997608	-0.0690274	0.10663	0.069031	0.9919	1.51837	0.973931	28.4251	
0.993994	-0.00385421	-0.109365	-0.00392716	0.99748	-0.0708462	0.109362	0.0708502	0.991474	1.59729	1.02504	29.1498	
0.993689	-0.00405195	-0.112096	-0.00413055	0.997348	-0.072667	0.112093	0.0726715	0.991037	1.67821	1.07749	29.8742	
0.993376	-0.00425472	-0.114826	-0.00433927	0.997212	-0.0744897	0.114823	0.0744946	0.990589	1.76113	1.13126	30.5983	
0.993056	-0.00446254	-0.117556	-0.00455332	0.997073	-0.0763142	0.117552	0.0763196	0.99013	1.84604	1.18637	31.3221	
0.992729	-0.0046754	-0.120284	-0.00477271	0.996931	-0.0781405	0.12028	0.0781464	0.989659	1.93294	1.24281	32.0455	
0.992393	-0.00489331	-0.123011	-0.00499746	0.996785	-0.0799686	0.123007	0.079975	0.989178	2.02184	1.30059	32.7686	
0.99205	-0.00511627	-0.125737	-0.00522757	0.996635	-0.0817983	0.125732	0.0818054	0.988686	2.11273	1.35971	33.4913	
0.9917	-0.00534429	-0.128462	-0.00546306	0.996482	-0.0836298	0.128457	0.0836374	0.988182	2.20561	1.42016	34.2136	
0.991342	-0.00557736	-0.131185	-0.00570394	0.996325	-0.0854628	0.131179	0.0854712	0.987667	2.30049	1.48195	34.9356	
0.990977	-0.00581549	-0.133907	-0.0059502	0.996165	-0.0872975	0.133901	0.0873066	0.987141	2.39735	1.54509	35.6572	
0.990604	-0.00605868	-0.136627	-0.00620187	0.996	-0.0891337	0.13662	0.0891435	0.986604	2.4962	1.60956	36.3784	
0.990224	-0.00630694	-0.139346	-0.00645896	0.995833	-0.0909714	0.139339	0.0909821	0.986056	2.59703	1.67538	37.0993	
0.990086	-0.00639824	-0.140314	-0.00700197	0.995472	-0.0948001	0.140286	0.0948428	0.985558	2.69921	1.74328	37.8197	
0.989947	-0.00649404	-0.14129	-0.0075499	0.995095	-0.0986355	0.141237	0.0987107	0.985042	2.80208	1.81401	38.5398	
0.989806	-0.00659439	-0.142271	-0.00810275	0.994702	-0.102477	0.142194	0.102585	0.984509	2.90565	1.88756	39.2595	
0.989662	-0.00669931	-0.14326	-0.00866054	0.994294	-0.106325	0.143154	0.106467	0.983957	3.00991	1.96395	39.9787	
0.989517	-0.00680888	-0.144254	-0.00922326	0.993869	-0.110179	0.144119	0.110354	0.983388	3.11488	2.04318	40.6976	
0.98937	-0.00692311	-0.145254	-0.00979091	0.993428	-0.114038	0.145089	0.114248	0.9828	3.22056	2.12525	41.4161	
0.989221	-0.00704207	-0.146259	-0.0103635	0.992971	-0.117902	0.146062	0.118147	0.982195	3.32695	2.21017	42.1341	
0.98907	-0.00716577	-0.147271	-0.010941	0.992498	-0.121772	0.147039	0.122052	0.981572	3.43405	2.29794	42.8517	
0.988917	-0.00729427	-0.148288	-0.0115235	0.992008	-0.125646	0.148019	0.125962	0.98093	3.54187	2.38856	43.5688	
0.988763	-0.0074276	-0.14931	-0.0121108	0.991502	-0.129524	0.149003	0.129877	0.98027	3.6504	2.48205	44.2854	
0.988606	-0.00756578	-0.150337	-0.0127031	0.99098	-0.133407	0.14999	0.133796	0.979593	3.75965	2.5784	45.0015	
0.988447	-0.00770886	-0.151369	-0.0133004	0.990441	-0.137293	0.15098	0.13772	0.978896	3.86963	2.67761	45.7172	
0.988287	-0.00785685	-0.152406	-0.0139025	0.989886	-0.141183	0.151973	0.141648	0.978182	3.98033	2.77969	46.4323	
0.988124	-0.00800978	-0.153447	-0.0145095	0.989314	-0.145076	0.152969	0.145579	0.977449	4.09176	2.88465	47.1469	
0.98796	-0.00816768	-0.154492	-0.0151215	0.988726	-0.148972	0.153967	0.149514	0.976698	4.20391	2.99247	47.861	
0.987794	-0.00833057	-0.155542	-0.0157383	0.988121	-0.15287	0.154968	0.153452	0.975929	4.3168	3.10318	48.5745	
0.987626	-0.00849847	-0.156596	-0.01636	0.987499	-0.156771	0.155971	0.157393	0.975141	4.43042	3.21676	49.2874	
0.987456	-0.0086714	-0.157654	-0.0169866	0.986861	-0.160675	0.156976	0.161337	0.974335	4.54477	3.33323	49.9997	
0.987285	-0.00884936	-0.158715	-0.017618	0.986206	-0.16458	0.157982	0.165283	0.973511	4.65986	3.45258	50.7115	
0.987111	-0.00903238	-0.15978	-0.0182543	0.985535	-0.168486	0.158991	0.169231	0.972668	4.77568	3.57481	51.4226	
0.986936	-0.00922047	-0.160848	-0.0188954	0.984847	-0.172394	0.16	0.173181	0.971807	4.89224	3.69993	52.1331	
0.986759	-0.00941362	-0.161919	-0.0195413	0.984142	-0.176303	0.161011	0.177133	0.970927	5.00954	3.82794	52.843	
0.98658	-0.00961185	-0.162993	-0.020192	0.98342	-0.180213	0.162023	0.181086	0.970029	5.12758	3.95883	53.5523	
0.9864	-0.00981516	-0.16407	-0.0208474	0.982682	-0.184123	0.163036	0.185039	0.969113	5.24636	4.09261	54.2608	
0.986218	-0.0100236	-0.165149	-0.0215076	0.981927	-0.188033	0.164049	0.188994	0.968178	5.36587	4.22929	54.9687	
0.986034	-0.010237	-0.166231	-0.0221726	0.981155	-0.191944	0.165064	0.192949	0.967225	5.48613	4.36885	55.6759	
0.985848	-0.0104556	-0.167315	-0.0228423	0.980367	-0.195854	0.166078	0.196904	0.966254	5.60713	4.51131	56.3824	
0.985661	-0.0106792	-0.168401	-0.0235166	0.979562	-0.199763	0.167093	0.200859	0.965265	5.72888	4.65665	57.0882	
0.985472	-0.0109079	-0.169489	-0.0241957	0.97874	-0.203672	0.168107	0.204814	0.964257	5.85136	4.80489	57.7933	
0.985281	-0.0111416	-0.170578	-0.0248793	0.977902	-0.20758	0.169121	0.208768	0.963231	5.97458	4.95601	58.4976	
0.985089	-0.0113804	-0.171669	-0.0255676	0.977047	-0.211486	0.170135	0.212722	0.962187	6.09855	5.11002	59.2012	
0.984895	-0.0116242	-0.172761	-0.0262605	0.976175	-0.215391	0.171148	0.216674	0.961125	6.22326	5.26693	59.9039	
0.9847	-0.011873	-0.173854	-0.0269579	0.975286	-0.219293	0.172161	0.220625	0.960044	6.3487	5.42672	60.6059	
0.984503	-0.0121268	-0.174948	-0.0276598	0.974382	-0.223194	0.173172	0.224574	0.958946	6.47489	5.5894	61.3072	
0.984305	-0.0123855	-0.176042	-0.0283662	0.97346	-0.227092	0.174183	0.228522	0.95783	6.60182	5.75496	62.0075	
0.984105	-0.0126492	-0.177137	-0.0290771	0.972522	-0.230988	0.175192	0.232467	0.956696	6.72948	5.92341	62.7071	
0.983904	-0.0129178	-0.178233	-0.0297925	0.971568	-0.23488	0.176199	0.23641	0.955544	6.85788	6.09474	63.4059	
0.983701	-0.0131913	-0.179328	-0.0305122	0.970597	-0.23877	0.177205	0.24035	0.954374	6.98701	6.26895	64.1038	
0.983497	-0.0134696	-0.180424	-0.0312362	0.969609	-0.242656	0.178209	0.244287	0.953187	7.11688	6.44604	64.8008	
0.983291	-0.0137528	-0.181519	-0.0319646	0.968606	-0.246539	0.179211	0.248221	0.951982	7.24749	6.626	65.4969	
0.983084	-0.0140407	-0.182614	-0.0326972	0.967586	-0.250417	0.180211	0.252152	0.950759	7.37882	6.80884	66.1922	
0.982876	-0.0143333	-0.183708	-0.0334341	0.966549	-0.254292	0.181208	0.256079	0.949519	7.51089	6.99455	66.8866	
0.982667	-0.0146307	-0.184802	-0.0341752	0.965497	-0.258162	0.182203	0.260003	0.948262	7.64368	7.18313	67.58	
0.982456	-0.0149327	-0.185894	-0.0349204	0.964429	-0.262027	0.183194	0.263922	0.946987	7.7772	7.37457	68.2726	
0.982244	-0.0152393	-0.186985	-0.0356698	0.963344	-0.265888	0.184183	0.267836	0.945696	7.91144	7.56888	68.9642	
0.982031	-0.0155504	-0.188075	-0.0364232	0.962243	-0.269743	0.185169	0.271746	0.944387	8.0464	7.76605	69.6548	
0.981817	-0.0158661	-0.189164	-0.0371806	0.961127	-0.273593	0.186151	0.275651	0.943061	8.18208	7.96607	70.3445	
0.983783	-0.0127865	-0.178904	-0.0398287	0.956979	-0.287412	0.174883	0.289877	0.94095	8.31401	8.17272	71.0329	
